codpanelista2,wave,sex,age,education,hhincome,livingpartner,lrself,voteintentionspain,polintr,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,authoa,authob,authoc,authod,populisma,populismb,populismc,populismd,populisme,populismf,immigeco,immicult,femstrike,femdemonstrate,feminfo,femtalk,constpref,vote2016
3,2017,2,33,3,3,NA,5,4,2,3,6,2,4,3,7,6,3,2,2,2,2,1,4,4,4,2,5,5,4,7,NA,NA,NA,NA,2,1
3,2018,2,34,3,3,1,5,4,1,2,5,3,2,3,7,6,3,1,2,2,2,1,5,5,5,1,4,2,5,4,1,1,1,1,1,1
3,2019,2,35,3,4,0,6,23,1,4,3,4,4,4,2,4,4,4,2,1,2,1,5,4,5,2,5,6,4,7,2,2,1,1,1,NA
3,2020,2,36,3,3,1,5,23,1,3,5,3,3,4,5,5,4,4,2,1,2,1,5,4,4,2,5,5,3,8,2,2,2,1,2,NA
5,2017,1,27,8,99,NA,5,54,4,1,2,2,2,2,5,5,3,2,2,1,2,2,2,2,3,2,2,2,8,2,NA,NA,NA,NA,5,50
5,2018,1,28,8,99,1,3,54,3,2,6,2,2,2,5,5,4,1,2,1,2,2,5,4,5,6,5,7,7,4,2,2,2,2,5,NA
5,2019,1,29,8,7,1,5,7,3,2,6,1,2,2,5,5,3,2,2,2,2,1,5,4,4,5,3,6,7,4,2,2,2,2,5,NA
5,2020,1,30,8,8,1,5,55,3,2,5,5,2,3,6,5,3,3,2,2,2,2,5,5,4,5,3,6,7,5,2,2,2,2,5,NA
8,2017,2,35,8,7,NA,5,4,4,4,4,4,4,4,4,5,4,4,2,2,2,1,5,4,4,7,5,7,7,2,NA,NA,NA,NA,1,NA
10,2017,2,26,10,4,NA,2,53,4,3,4,3,4,4,4,5,4,5,2,2,2,1,4,4,6,4,4,7,5,10,NA,NA,NA,NA,3,3
10,2018,2,27,10,4,0,3,53,4,4,5,4,4,3,5,5,4,4,1,1,1,1,4,4,4,4,4,4,0,10,2,2,2,2,2,NA
10,2019,2,28,10,7,0,3,1,4,3,5,3,3,4,5,4,5,3,2,1,1,1,4,4,5,4,4,7,3,6,2,2,2,2,2,NA
10,2020,2,29,10,7,0,3,55,4,4,4,4,3,4,5,5,4,4,1,1,2,1,4,4,4,4,4,7,0,10,2,2,2,2,1,NA
14,2017,1,43,8,8,NA,3,3,2,1,7,1,1,2,7,7,1,1,1,1,2,1,7,2,5,6,6,6,8,2,NA,NA,NA,NA,4,3
16,2017,1,50,3,5,NA,2,1,2,4,3,4,5,5,4,4,4,3,2,2,2,1,7,4,5,4,5,5,1,6,NA,NA,NA,NA,3,1
17,2017,2,36,3,99,NA,3,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,8,7,NA,NA,NA,NA,2,56
17,2018,2,37,3,2,1,2,54,3,4,5,6,6,6,6,6,5,5,2,2,2,2,7,7,7,7,7,2,3,2,2,2,2,2,2,NA
17,2019,2,38,3,5,1,9,1,3,7,7,1,1,1,7,7,7,1,2,2,1,1,7,6,5,1,1,7,9,9,1,1,2,1,3,NA
19,2017,2,45,11,7,NA,5,53,3,2,6,3,3,1,6,6,3,2,2,2,2,2,2,3,2,2,2,6,2,9,NA,NA,NA,NA,2,56
20,2017,2,26,11,99,NA,6,53,4,2,5,1,1,1,4,6,3,1,2,1,2,1,3,1,4,1,1,7,5,5,NA,NA,NA,NA,3,NA
20,2018,2,27,11,99,0,5,54,3,2,5,1,2,2,4,5,5,2,2,1,2,1,1,2,1,2,1,7,8,4,2,2,2,2,2,NA
21,2017,1,29,8,5,NA,5,54,2,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,4,5,5,NA,NA,NA,NA,3,2
21,2018,1,30,5,7,1,5,4,2,4,4,4,4,4,4,4,4,4,2,2,2,1,4,4,4,4,4,4,5,5,2,2,2,2,3,1
21,2019,1,31,5,6,1,5,2,2,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,4,5,5,2,2,2,2,3,NA
21,2020,1,32,5,6,1,5,2,3,4,4,4,4,4,4,4,4,4,1,2,2,1,4,4,4,5,5,7,5,5,2,2,2,2,3,NA
22,2017,2,45,9,6,NA,2,4,3,2,6,3,1,1,6,6,2,1,1,1,2,1,5,6,3,5,5,7,7,5,NA,NA,NA,NA,4,4
22,2018,2,46,9,6,0,2,4,3,2,6,2,1,2,6,6,3,2,2,1,2,1,6,4,2,6,5,7,5,5,2,1,2,2,4,4
22,2019,2,47,9,6,0,2,4,3,1,5,3,1,1,6,6,3,2,2,1,2,1,6,4,6,6,6,6,6,3,2,2,2,2,3,NA
22,2020,2,48,9,7,0,2,1,3,5,4,3,2,2,4,6,5,2,2,2,2,1,5,4,5,4,5,6,5,6,2,2,2,2,3,NA
23,2019,1,52,11,10,1,5,54,2,3,3,3,3,3,3,3,4,3,1,2,2,1,4,4,4,4,4,5,7,7,2,2,2,2,4,NA
23,2020,1,53,11,9,1,5,53,2,4,4,4,4,4,4,4,5,4,1,1,2,1,5,4,4,4,5,5,8,8,2,2,2,2,3,NA
25,2017,1,28,10,99,NA,3,3,2,2,5,2,3,3,5,5,4,2,2,1,2,1,5,5,5,4,4,6,8,7,NA,NA,NA,NA,4,3
25,2018,1,29,10,99,1,4,5,2,2,7,2,2,2,6,6,4,2,2,2,2,1,6,6,6,5,4,6,5,0,2,2,1,1,4,5
25,2019,1,30,10,8,1,2,3,2,2,6,2,6,4,7,6,5,2,1,1,2,1,4,4,4,4,4,4,8,8,2,2,2,2,4,NA
25,2020,1,31,10,8,1,3,3,2,2,6,2,2,3,6,6,3,2,1,1,2,1,4,3,5,4,2,4,9,2,2,2,2,2,3,NA
26,2019,2,48,3,99,1,3,1,3,2,6,2,2,3,6,7,5,3,2,1,2,1,2,2,4,4,6,6,7,7,1,1,1,1,3,NA
31,2017,2,45,11,8,NA,5,54,4,3,6,3,2,2,5,4,4,3,2,2,2,2,4,4,4,4,4,5,1,7,NA,NA,NA,NA,3,NA
31,2018,2,46,11,10,0,6,4,3,1,6,1,1,1,5,5,1,3,2,1,2,1,3,4,5,3,3,5,0,10,2,2,2,2,3,4
31,2019,2,47,11,8,0,6,4,2,1,6,1,2,2,6,5,3,1,2,1,2,1,1,4,4,1,1,7,0,10,2,2,2,2,3,NA
31,2020,2,48,11,8,0,4,1,3,4,5,2,4,4,4,4,4,4,2,1,2,1,4,4,3,4,4,5,1,9,2,2,2,2,3,NA
32,2017,2,43,10,99,NA,2,3,2,1,7,1,1,1,7,7,1,1,1,2,2,1,6,4,7,6,6,6,5,8,NA,NA,NA,NA,4,3
32,2018,2,44,10,99,0,2,3,2,1,7,1,2,2,6,6,1,2,1,1,2,2,5,4,6,6,6,5,5,5,2,1,1,1,3,3
32,2019,2,45,10,99,0,2,3,2,1,7,1,1,1,7,7,1,1,1,1,2,2,7,4,7,6,6,6,5,3,2,1,1,1,3,NA
32,2020,2,46,10,6,0,1,3,2,1,7,1,1,1,7,7,1,7,1,1,2,2,7,4,6,5,7,4,5,5,2,2,1,1,3,NA
34,2017,2,39,7,99,NA,3,2,3,5,5,5,6,5,5,6,5,5,2,2,2,1,4,5,4,6,6,7,3,8,NA,NA,NA,NA,1,1
35,2017,1,41,9,1,NA,5,54,3,3,5,2,3,5,4,3,5,3,2,2,2,2,6,4,6,5,6,6,3,5,NA,NA,NA,NA,2,56
36,2017,2,25,6,8,NA,6,4,3,2,6,1,1,3,5,5,2,1,1,1,2,1,4,2,5,3,4,5,6,2,NA,NA,NA,NA,2,2
36,2018,2,26,9,9,0,5,2,3,3,6,5,2,3,6,6,4,2,1,1,2,1,4,3,3,4,4,5,7,2,1,2,1,1,2,2
36,2019,2,27,9,9,0,5,4,3,3,6,3,3,3,5,6,2,2,1,1,2,1,4,3,4,4,5,5,8,3,1,2,2,1,2,NA
36,2020,2,28,9,9,0,6,2,3,3,6,2,3,3,6,6,3,3,1,1,2,1,3,5,3,4,3,5,6,7,2,2,2,2,3,NA
44,2017,2,36,10,2,NA,5,1,3,2,5,2,2,2,5,6,3,2,2,2,2,1,5,5,5,5,6,7,3,7,NA,NA,NA,NA,3,1
44,2019,2,38,10,5,1,5,1,3,1,7,2,1,1,5,6,4,2,2,2,2,1,5,3,3,4,6,7,3,8,2,1,1,1,3,NA
45,2017,1,42,8,3,NA,5,53,1,4,6,2,4,4,4,4,7,1,2,2,2,1,4,4,4,4,4,4,0,10,NA,NA,NA,NA,5,NA
45,2018,1,43,5,99,1,5,53,4,6,2,4,4,6,2,2,5,4,2,1,2,1,4,4,1,1,1,7,2,5,2,2,2,1,5,NA
45,2019,1,44,8,6,1,5,53,2,6,2,5,5,5,2,2,7,4,2,2,2,1,4,4,6,4,4,6,3,5,2,2,2,1,4,NA
45,2020,1,45,8,10,1,5,53,4,7,1,6,6,7,1,1,6,6,2,1,2,1,4,4,5,4,4,5,5,5,2,2,2,2,5,NA
46,2018,2,36,11,10,1,7,16,3,2,5,4,5,4,4,2,6,5,2,2,2,2,7,2,4,7,7,7,3,0,2,2,1,1,3,50
46,2019,2,37,11,11,1,5,50,1,5,4,5,2,2,6,2,3,4,2,1,2,1,2,4,7,6,5,1,8,2,2,2,2,1,3,NA
46,2020,2,38,11,10,1,5,4,3,4,5,2,4,6,6,5,6,6,2,2,2,1,7,5,6,7,7,7,2,3,2,2,2,2,4,NA
47,2017,1,29,6,8,NA,7,2,3,3,7,4,3,3,4,3,2,1,2,2,2,2,6,3,4,4,4,5,5,7,NA,NA,NA,NA,3,NA
47,2018,1,30,10,8,0,6,2,3,1,5,1,4,3,7,6,3,1,2,2,2,1,5,1,3,3,4,7,3,7,2,2,2,2,3,2
47,2019,1,31,11,7,1,6,2,3,3,6,3,3,3,1,7,1,3,2,2,2,1,1,1,3,6,5,6,5,5,2,2,2,2,3,NA
48,2017,1,50,10,99,NA,5,4,2,4,4,4,4,5,4,4,4,4,2,1,2,2,5,4,5,3,4,5,8,5,NA,NA,NA,NA,2,4
48,2018,1,51,10,99,1,5,4,2,4,4,4,4,4,3,4,4,4,2,2,2,1,4,4,5,4,4,4,8,8,2,2,2,1,2,4
48,2019,1,52,9,99,1,5,4,2,5,5,4,4,4,5,5,4,4,2,1,2,2,5,4,4,3,3,4,6,6,2,2,2,1,2,NA
48,2020,1,53,9,99,1,5,4,3,5,4,5,3,5,3,3,5,5,2,1,2,1,6,3,5,3,4,5,9,9,2,2,2,2,3,NA
49,2017,1,28,9,7,NA,8,2,2,4,5,3,5,3,6,4,2,6,2,2,2,2,3,1,5,4,3,5,7,9,NA,NA,NA,NA,1,2
49,2018,1,29,9,9,1,8,2,2,4,5,4,3,4,5,2,6,4,2,2,2,2,5,4,5,2,3,5,7,5,2,2,2,2,3,2
49,2019,1,30,9,4,1,8,23,2,5,5,4,3,4,6,3,2,6,2,2,2,1,2,5,4,5,4,5,2,7,2,2,2,2,3,NA
49,2020,1,31,9,2,1,9,23,2,5,6,5,6,4,6,4,5,6,2,2,2,1,6,4,5,4,6,5,3,7,2,2,2,2,3,NA
52,2018,2,36,8,7,1,4,50,4,1,6,1,2,2,7,7,2,1,2,1,2,1,6,4,7,4,6,7,5,5,2,2,2,1,2,NA
53,2017,1,39,5,99,NA,5,53,4,4,4,4,4,4,4,4,4,4,2,2,2,1,7,7,7,7,7,7,5,5,NA,NA,NA,NA,4,NA
53,2018,1,40,5,99,0,4,53,4,4,7,5,3,6,5,7,7,6,2,2,2,2,7,4,4,7,7,7,5,5,2,2,2,1,4,NA
53,2019,1,41,5,99,0,4,54,4,4,5,4,4,3,4,3,5,3,2,2,1,1,6,5,4,6,6,6,5,5,1,2,2,2,4,NA
53,2020,1,42,5,2,0,4,53,4,4,4,4,4,4,4,4,4,4,2,2,2,2,6,1,4,6,6,1,5,5,2,2,2,2,4,NA
54,2017,2,25,11,5,NA,3,3,3,3,4,2,2,3,5,5,4,2,1,2,2,1,4,6,5,4,4,5,5,3,NA,NA,NA,NA,4,3
56,2017,2,29,11,9,NA,8,4,2,6,5,6,7,6,5,5,6,7,1,2,2,1,4,6,5,6,5,4,8,8,NA,NA,NA,NA,2,4
59,2017,2,44,10,8,NA,5,2,3,4,5,3,3,3,4,5,5,3,2,2,2,1,2,4,3,4,3,5,5,7,NA,NA,NA,NA,2,2
59,2018,2,46,10,9,1,5,2,3,3,5,3,3,5,4,4,5,5,2,2,2,1,3,4,4,3,3,5,4,5,2,2,2,2,1,2
60,2017,2,42,5,8,NA,3,1,4,4,6,4,3,3,5,4,5,3,2,2,2,2,7,7,7,4,7,7,0,10,NA,NA,NA,NA,4,NA
60,2019,2,44,8,9,1,4,53,4,2,7,4,3,3,4,4,4,4,2,2,2,2,4,4,4,3,6,7,0,10,2,2,2,2,3,NA
63,2018,2,47,11,11,1,5,4,3,2,5,1,2,2,5,6,3,2,1,1,2,1,6,2,2,1,2,4,7,9,2,2,2,1,1,NA
63,2019,2,48,11,10,1,6,4,3,5,3,3,5,5,3,3,5,4,1,2,2,1,5,5,5,2,1,2,5,7,2,2,1,1,1,NA
63,2020,2,49,11,11,1,7,2,3,4,5,3,3,4,3,5,5,4,1,1,2,1,5,1,5,2,2,6,7,3,2,2,2,2,1,NA
64,2017,2,45,9,9,NA,7,53,4,2,4,3,2,2,5,6,4,2,2,2,2,2,6,6,4,6,6,6,5,5,NA,NA,NA,NA,1,NA
64,2018,2,46,9,9,0,5,53,4,2,6,2,1,2,6,6,6,2,2,2,2,2,7,4,7,5,7,7,5,5,2,2,2,2,1,NA
64,2019,2,47,9,9,0,5,53,4,3,6,1,3,1,3,5,6,2,2,2,2,1,6,4,6,6,5,7,5,5,2,2,2,2,1,NA
64,2020,2,48,9,9,0,5,53,4,1,5,2,2,2,4,4,4,1,2,2,2,1,7,4,4,4,5,7,5,5,2,2,2,2,1,NA
69,2017,1,43,9,9,NA,2,3,2,3,5,1,3,3,6,5,3,2,1,1,2,1,6,3,4,5,6,5,8,7,NA,NA,NA,NA,4,3
69,2018,1,44,9,10,1,2,3,2,3,5,2,3,3,5,5,4,3,1,1,2,1,5,4,5,5,7,6,8,3,2,2,1,1,2,3
69,2019,1,45,9,10,1,2,1,2,2,5,1,3,3,5,6,3,2,1,1,2,2,4,4,4,5,5,4,7,5,1,2,2,1,3,NA
69,2020,1,46,9,10,1,2,3,2,3,5,2,3,3,5,6,3,3,1,1,2,1,5,3,5,4,5,4,8,4,2,2,2,2,3,NA
72,2017,1,30,8,8,NA,5,1,3,4,4,4,4,4,4,4,4,4,2,2,1,2,7,4,4,4,7,7,5,8,NA,NA,NA,NA,3,1
72,2018,1,31,8,8,1,5,4,3,6,5,6,3,6,4,4,5,5,2,2,1,2,6,5,4,1,4,6,5,10,1,1,2,2,3,1
72,2019,1,32,8,8,1,5,1,3,3,5,5,3,4,5,5,4,3,2,2,1,2,7,4,4,3,6,7,3,10,1,1,2,1,3,NA
72,2020,1,33,8,8,1,5,55,3,4,4,4,4,4,4,4,4,4,2,2,1,2,4,4,5,4,4,4,5,5,2,2,2,2,3,NA
75,2018,2,42,9,99,1,5,18,3,2,7,3,1,1,6,7,3,2,2,2,2,1,5,2,6,6,7,7,5,8,2,2,2,2,2,18
75,2019,2,43,9,99,1,4,18,3,1,7,4,1,2,5,6,3,1,1,2,2,2,6,6,2,6,7,7,7,10,2,2,2,1,3,NA
75,2020,2,44,9,9,1,5,55,3,1,7,3,2,1,5,6,2,2,2,2,2,2,4,4,6,4,5,6,7,7,2,2,2,2,4,NA
76,2017,2,47,3,1,NA,6,54,3,1,7,1,5,1,7,5,5,1,2,2,2,2,7,4,3,3,4,4,10,10,NA,NA,NA,NA,3,54
76,2018,2,47,3,1,1,3,54,2,2,5,5,2,2,2,5,5,2,2,2,2,2,4,4,4,4,4,4,2,2,1,1,2,2,3,54
76,2019,2,48,3,99,1,7,23,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,7,7,2,1,1,1,3,NA
76,2020,2,49,3,2,1,5,55,2,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,5,5,2,1,2,2,3,NA
77,2017,1,33,8,8,NA,3,54,3,3,6,1,2,3,5,5,5,5,2,2,2,1,7,6,7,7,7,7,8,7,NA,NA,NA,NA,4,1
78,2017,2,41,10,8,NA,5,53,4,3,4,3,3,3,5,5,5,3,1,2,2,1,5,5,5,5,5,5,5,5,NA,NA,NA,NA,3,NA
78,2019,2,43,10,6,0,5,4,3,5,5,5,4,3,4,4,5,5,1,2,2,1,5,4,4,5,2,6,5,5,2,2,2,2,3,NA
78,2020,2,44,10,8,1,5,53,4,1,2,1,1,1,6,6,6,6,1,2,2,1,4,4,4,4,4,4,4,5,2,2,2,2,3,NA
79,2017,1,40,7,10,NA,4,1,3,6,4,6,4,6,4,4,5,6,2,2,2,1,7,4,7,7,7,7,2,8,NA,NA,NA,NA,2,3
79,2018,1,41,7,9,1,4,1,2,2,2,2,1,4,4,4,4,1,2,2,2,2,7,7,7,7,7,7,3,3,2,2,2,1,2,3
79,2020,1,43,7,9,1,5,53,3,6,1,6,3,7,5,5,5,2,2,1,2,1,7,7,7,6,6,7,5,5,2,2,2,2,2,NA
80,2017,1,31,6,7,NA,3,3,1,4,5,2,2,3,3,4,5,3,2,1,2,2,6,6,4,6,5,7,6,8,NA,NA,NA,NA,5,3
80,2018,1,32,10,7,0,3,3,1,2,7,2,1,2,6,6,3,1,1,1,2,1,7,3,6,6,7,7,5,4,2,2,1,2,5,3
80,2019,1,33,7,8,0,3,7,2,3,5,2,3,3,3,6,5,3,1,1,2,2,7,3,5,4,7,7,6,8,2,2,2,2,5,NA
80,2020,1,33,10,8,0,4,7,2,3,6,3,3,3,4,6,3,3,1,1,2,1,5,5,4,6,5,5,6,6,2,2,2,2,5,NA
83,2017,2,33,3,99,NA,2,54,3,3,6,6,6,7,4,5,4,4,2,2,2,1,4,2,3,2,2,2,2,2,NA,NA,NA,NA,2,NA
83,2018,2,34,3,99,1,5,53,3,3,4,4,4,6,2,4,5,5,2,2,2,1,5,5,7,7,6,7,1,1,1,1,1,1,4,4
84,2017,1,43,9,5,NA,5,4,2,3,4,4,5,3,2,4,3,5,2,2,2,2,5,4,5,4,4,6,4,8,NA,NA,NA,NA,2,NA
84,2018,1,44,9,6,0,5,4,3,4,3,7,4,5,1,1,5,4,2,2,2,2,5,5,4,4,4,4,4,8,2,2,2,2,2,4
84,2019,1,45,9,6,0,4,4,3,5,1,7,1,7,1,1,5,4,2,2,2,1,2,4,6,2,2,7,6,10,2,2,2,1,2,NA
84,2020,1,46,9,6,0,5,2,3,7,1,7,7,5,1,7,7,7,2,2,1,2,4,4,4,4,1,6,6,10,2,2,2,2,2,NA
85,2018,2,33,6,9,1,5,50,3,3,6,4,5,3,4,5,5,3,2,2,2,2,5,2,4,5,5,6,2,7,2,2,2,2,2,NA
86,2017,2,35,5,9,NA,6,2,3,3,2,1,2,2,3,3,4,4,1,1,2,1,5,4,6,6,5,7,5,6,NA,NA,NA,NA,2,2
86,2019,2,37,8,9,1,5,2,3,3,5,1,1,4,7,7,3,2,1,1,2,1,5,5,5,4,4,6,1,5,2,2,1,1,1,NA
87,2018,2,47,3,8,1,5,53,3,4,4,4,1,4,4,4,4,4,1,2,2,1,4,7,4,7,4,7,5,5,2,2,2,1,3,NA
89,2017,2,47,4,9,NA,5,3,2,1,7,1,1,1,7,7,3,1,1,1,2,1,4,6,6,4,7,7,9,10,NA,NA,NA,NA,5,3
89,2018,2,48,4,9,1,8,1,2,1,6,1,1,1,5,6,5,1,1,1,2,1,6,7,7,7,5,7,8,10,1,2,1,1,1,1
94,2019,2,35,10,10,1,1,3,2,1,5,1,1,1,7,7,6,1,2,1,2,1,6,6,5,5,6,7,10,4,1,1,1,1,4,NA
94,2020,2,36,10,7,1,3,3,2,1,5,1,1,1,7,7,5,1,2,1,2,1,5,3,5,4,6,6,10,3,1,1,1,1,4,NA
95,2017,1,40,5,5,NA,0,3,1,4,4,3,4,4,3,3,3,4,2,2,2,2,6,1,7,6,7,7,5,5,NA,NA,NA,NA,5,3
95,2019,1,42,5,6,1,0,50,1,6,5,7,6,6,5,6,7,7,2,2,2,1,7,6,7,7,6,7,7,6,2,2,2,1,5,NA
99,2017,1,34,10,8,NA,3,3,2,2,5,1,2,2,6,6,3,2,2,2,2,1,7,7,7,6,7,6,6,8,NA,NA,NA,NA,3,3
99,2018,1,35,11,8,1,3,3,2,3,1,1,5,5,3,3,4,5,2,1,2,2,7,6,7,6,7,7,5,8,2,2,2,1,4,3
99,2019,1,36,11,9,1,3,5,2,5,1,1,2,6,3,3,5,5,2,2,2,2,6,1,7,7,7,5,5,8,1,2,1,1,4,NA
99,2020,1,37,11,8,1,2,5,2,7,2,1,2,7,5,5,5,7,2,2,2,2,5,7,7,4,7,6,6,8,1,1,2,1,3,NA
102,2017,1,28,10,11,NA,5,7,2,3,5,2,3,3,4,5,4,3,1,1,2,1,4,3,3,4,4,6,4,6,NA,NA,NA,NA,5,7
102,2018,1,29,10,11,0,4,7,2,3,5,3,3,3,5,5,3,3,2,1,2,1,3,4,3,5,5,7,4,6,2,2,2,1,5,7
102,2019,1,30,10,10,0,4,7,2,3,6,1,3,3,3,5,3,2,2,1,2,1,6,4,3,5,7,5,5,6,2,2,2,2,5,NA
102,2020,1,32,10,12,0,5,22,1,2,6,2,3,3,6,6,3,3,1,1,2,2,3,5,4,6,6,7,7,5,2,2,2,1,5,NA
107,2017,2,29,11,9,NA,3,52,3,2,5,2,1,2,5,5,4,3,2,1,2,1,4,4,4,4,4,7,5,3,NA,NA,NA,NA,3,52
107,2018,2,30,11,9,1,4,52,2,1,6,2,2,2,7,7,4,1,2,1,2,1,5,4,4,4,3,7,6,5,2,1,1,1,3,52
109,2017,2,43,11,12,NA,5,4,2,1,1,1,1,1,4,1,1,1,2,1,2,1,7,1,1,1,1,1,10,10,NA,NA,NA,NA,4,4
109,2019,2,45,11,12,1,5,54,2,4,4,4,4,4,4,4,4,4,2,2,2,2,7,2,7,3,3,7,6,7,2,2,2,2,3,NA
111,2017,1,23,10,8,NA,3,18,2,2,7,1,1,3,6,6,2,1,2,1,2,1,7,3,5,3,7,4,8,0,NA,NA,NA,NA,5,18
111,2018,1,24,11,8,0,3,18,2,1,6,1,1,1,5,6,2,1,1,1,2,1,5,4,4,6,6,6,9,9,2,2,2,1,5,18
111,2019,1,25,11,7,1,3,3,2,1,5,1,2,2,5,7,5,1,2,1,2,1,5,3,5,6,5,5,8,5,1,2,2,1,5,NA
112,2017,2,44,10,99,NA,2,5,3,3,5,2,3,3,5,6,5,3,1,1,2,1,5,2,6,4,6,6,9,1,NA,NA,NA,NA,4,5
112,2018,2,44,10,99,0,5,1,3,1,7,7,1,2,7,7,7,1,2,1,2,1,7,6,3,3,7,6,8,9,2,2,1,1,3,54
112,2019,2,46,10,99,0,3,54,3,1,5,1,1,3,7,7,6,1,1,1,2,1,7,6,7,7,7,7,8,5,2,2,2,1,4,NA
112,2020,2,46,10,7,0,6,2,3,1,7,1,1,1,4,7,4,1,2,1,2,1,7,4,7,7,7,7,10,10,2,2,2,2,3,NA
113,2017,1,40,7,8,NA,2,54,3,2,2,2,2,2,2,5,4,2,2,1,2,1,6,5,6,4,5,6,5,9,NA,NA,NA,NA,5,7
113,2018,1,41,7,8,1,2,7,2,2,7,1,2,2,6,7,2,2,2,1,2,1,6,4,5,3,6,5,5,8,2,2,1,1,5,7
116,2017,2,41,3,5,NA,7,54,3,4,4,4,4,5,4,5,4,5,2,2,2,1,7,4,7,7,7,7,1,10,NA,NA,NA,NA,1,NA
116,2018,2,42,3,6,1,8,54,3,4,4,4,4,4,4,4,4,4,2,2,2,1,6,4,6,6,4,4,3,3,2,2,2,2,3,NA
118,2017,2,27,11,5,NA,4,4,3,1,7,1,1,1,7,7,7,1,2,1,2,1,7,2,2,2,4,7,6,8,NA,NA,NA,NA,1,4
118,2018,2,29,11,5,0,3,4,2,1,7,1,1,1,7,7,1,1,2,1,2,1,6,6,5,6,4,7,8,2,2,2,2,2,1,4
118,2019,2,30,11,7,0,3,1,2,1,6,1,1,1,6,6,5,1,2,1,2,1,4,4,4,5,4,7,7,5,2,2,2,1,2,NA
118,2020,2,31,11,9,0,5,1,2,1,6,1,1,1,6,6,6,1,2,1,2,1,3,3,6,4,4,6,7,4,2,2,2,2,2,NA
119,2017,2,51,10,6,NA,5,53,3,2,5,2,2,2,2,2,5,5,2,2,2,1,4,4,6,4,6,5,6,6,NA,NA,NA,NA,4,NA
119,2018,2,52,10,7,0,5,6,4,1,6,2,1,2,7,7,5,1,2,2,2,1,5,4,5,5,4,5,7,0,2,2,2,1,3,NA
119,2019,2,53,10,7,0,4,1,3,2,6,1,3,3,6,6,3,3,1,1,2,1,7,3,6,1,5,5,3,7,2,1,2,1,4,NA
122,2017,1,47,11,11,NA,7,2,2,5,3,2,4,5,3,3,4,5,2,1,2,1,5,3,3,3,4,4,6,8,NA,NA,NA,NA,2,2
122,2018,1,48,11,11,1,7,4,2,5,2,2,5,6,4,2,4,5,2,1,2,1,4,4,2,3,2,3,6,7,2,2,2,1,2,2
126,2017,1,30,8,6,NA,4,1,3,6,1,4,3,6,2,2,5,5,2,2,2,1,7,3,7,4,7,7,5,4,NA,NA,NA,NA,3,1
127,2017,1,42,3,3,NA,5,54,3,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,5,5,NA,NA,NA,NA,3,NA
127,2018,1,43,3,3,1,5,54,4,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4,4,5,5,2,2,2,2,1,NA
127,2019,1,44,3,4,1,5,54,3,4,4,4,4,4,4,4,4,4,2,2,2,1,4,4,4,4,4,4,5,5,2,2,2,2,3,NA
127,2020,1,45,3,4,1,5,55,3,4,4,4,1,4,4,5,4,4,2,2,1,1,1,4,4,4,4,4,5,5,2,2,2,2,1,NA
129,2019,2,45,5,9,1,7,1,4,2,4,6,3,4,5,4,4,5,2,2,2,1,6,4,7,5,4,7,3,2,2,2,2,1,1,NA
129,2020,2,46,5,8,1,3,1,3,3,3,2,4,4,4,3,4,4,2,2,2,1,4,3,2,2,2,6,5,7,2,2,2,2,1,NA
133,2017,2,30,9,5,NA,5,53,4,3,5,3,3,3,4,5,4,3,2,1,2,2,5,4,6,5,5,6,8,8,NA,NA,NA,NA,3,56
133,2019,2,32,9,99,0,5,54,3,2,6,2,2,2,6,6,2,2,2,1,2,1,6,4,3,6,5,7,7,4,2,2,2,1,3,NA
138,2017,2,44,7,9,NA,3,1,3,3,7,2,3,1,5,6,4,3,2,2,2,2,7,4,5,5,6,7,4,9,NA,NA,NA,NA,4,1
138,2018,2,45,7,9,1,5,1,3,2,4,4,2,3,6,6,1,3,1,1,2,1,7,5,6,4,7,7,5,7,1,1,2,1,4,1
139,2017,2,42,3,6,NA,1,5,3,4,5,5,3,3,5,6,4,4,2,2,1,1,6,3,5,6,4,7,5,7,NA,NA,NA,NA,5,54
139,2019,2,44,3,8,0,2,5,4,6,4,4,4,4,4,4,4,4,2,2,1,2,3,3,3,3,6,3,5,5,2,2,2,2,5,NA
139,2020,2,44,3,8,0,4,55,4,4,6,4,2,3,4,4,4,3,2,2,2,1,6,4,4,6,7,7,5,5,2,2,2,2,4,NA
140,2017,2,46,9,8,NA,4,1,3,3,6,2,3,3,5,5,2,3,1,1,2,2,6,3,4,5,5,6,6,6,NA,NA,NA,NA,2,NA
148,2017,1,47,9,7,NA,0,3,2,3,3,3,4,3,3,3,3,4,2,2,2,1,4,3,4,4,4,3,10,10,NA,NA,NA,NA,1,3
148,2018,1,48,9,7,0,7,3,2,6,6,4,5,5,5,4,6,4,1,2,2,1,4,2,5,3,4,2,2,2,1,2,1,1,1,3
