codpanelista2,wave,sex,age,education,hhincome,livingpartner,lrself,voteintentionspain,polintr,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,authoa,authob,authoc,authod,populisma,populismb,populismc,populismd,populisme,populismf,immigeco,immicult,femstrike,femdemonstrate,feminfo,femtalk,constpref,vote2016
4099,2018,1,27,9,5,0,4,18,1,1,5,1,1,7,6,6,3,5,2,2,2,2,7,7,7,4,7,7,6,6,2,1,1,1,4,18
4099,2019,1,28,8,5,0,2,18,1,3,5,5,6,6,7,7,6,5,2,2,2,1,7,4,1,7,7,7,6,7,1,1,1,1,3,NA
4099,2020,1,29,8,2,0,3,18,1,4,4,2,3,7,6,4,5,1,2,1,2,2,7,5,7,6,7,7,7,7,1,1,2,2,3,NA
4100,2018,1,28,4,8,1,5,4,3,1,7,7,5,4,5,7,7,3,2,2,2,1,7,5,6,6,7,7,4,10,2,1,2,1,2,NA
4100,2019,1,29,5,7,1,5,53,3,2,5,4,5,4,5,5,4,3,2,2,2,2,7,7,5,7,7,7,6,6,2,2,1,1,1,NA
4100,2020,1,30,6,8,1,5,53,4,5,5,4,3,4,5,6,5,3,2,2,2,1,6,4,4,7,5,7,6,8,2,2,2,2,5,NA
4101,2018,1,52,10,7,0,3,7,3,1,5,2,1,2,5,6,4,4,1,2,2,1,7,4,6,6,6,1,0,5,2,2,2,2,5,7
4101,2019,1,53,10,7,0,2,7,3,2,4,1,2,1,5,5,4,1,2,1,2,1,6,4,3,2,5,4,7,5,2,2,2,2,5,NA
4101,2020,1,54,10,6,0,3,7,4,2,5,2,1,2,5,5,2,2,2,1,2,1,6,4,4,4,2,5,5,5,2,2,2,2,5,NA
4102,2018,1,27,8,5,0,5,54,2,3,3,4,4,2,6,6,3,4,2,2,2,1,6,4,2,7,7,7,5,6,2,2,2,1,1,1
4102,2019,1,28,8,99,0,5,54,3,3,5,5,4,5,5,4,5,4,2,2,2,2,5,5,5,5,5,5,3,6,2,2,2,2,3,NA
4102,2020,1,29,8,4,0,5,55,3,4,3,4,6,5,5,4,4,4,2,2,2,1,4,4,4,4,4,4,4,3,2,2,2,2,3,NA
4103,2018,2,34,3,99,1,3,52,2,2,6,6,3,2,6,5,2,1,2,2,2,1,5,3,4,3,4,6,4,5,1,2,1,1,5,7
4103,2019,2,35,8,5,1,0,3,3,2,6,3,3,4,4,5,4,4,1,2,2,2,5,4,5,3,6,5,5,5,1,1,1,1,5,NA
4104,2018,1,37,3,99,0,8,4,3,1,1,1,2,1,1,1,1,1,2,2,1,2,5,4,4,5,1,3,1,1,2,2,2,2,3,NA
4104,2019,1,38,3,7,0,10,4,4,7,1,5,7,7,1,1,1,4,2,2,2,2,5,5,4,3,5,7,1,2,2,2,2,2,1,NA
4104,2020,1,39,4,7,0,8,23,4,5,2,4,5,5,4,4,6,5,2,2,2,2,4,4,4,4,4,7,5,5,2,2,2,2,1,NA
4105,2018,1,23,10,10,0,1,15,1,1,1,1,1,1,6,5,1,1,1,1,2,1,6,4,4,4,5,5,7,5,1,1,1,1,5,15
4105,2019,1,23,10,9,0,2,15,1,1,7,2,1,2,6,7,4,1,1,1,2,1,5,5,6,5,4,5,10,5,1,1,1,1,5,NA
4106,2018,2,53,3,2,0,5,53,4,7,7,7,7,7,7,7,7,7,2,2,2,1,7,6,7,6,7,7,1,10,1,2,2,1,1,NA
4106,2019,2,54,3,2,1,5,1,4,1,7,4,1,1,5,7,5,7,2,2,1,1,6,4,4,4,4,7,0,0,2,2,2,1,3,NA
4107,2018,1,32,9,10,1,4,5,3,3,5,2,2,3,5,6,5,3,2,1,2,1,7,6,6,5,6,7,2,7,2,2,1,1,4,3
4107,2019,1,33,9,6,1,2,3,3,3,6,3,3,3,5,6,4,3,1,2,2,1,6,4,6,5,5,7,7,5,2,2,2,1,1,NA
4107,2020,1,34,9,5,1,3,3,3,3,6,3,3,3,5,5,2,3,2,1,2,1,5,4,5,4,3,6,5,4,2,2,2,2,2,NA
4108,2018,1,22,6,9,0,3,5,2,1,5,1,1,3,7,7,1,1,1,2,2,1,7,5,7,4,6,7,8,5,2,2,1,1,3,3
4108,2019,1,23,10,10,0,3,3,3,1,6,2,2,2,6,7,2,2,2,1,2,2,7,6,6,5,7,6,8,0,2,2,1,1,2,NA
4108,2020,1,24,11,9,0,3,3,3,1,5,1,3,3,6,6,1,2,1,1,2,1,7,6,6,5,6,7,8,2,2,2,1,1,2,NA
4109,2018,1,43,11,10,1,7,23,1,6,2,4,6,7,1,3,6,6,2,1,2,2,6,6,6,6,5,4,2,9,2,2,2,2,2,2
4109,2019,1,44,11,11,1,7,23,2,5,2,5,5,5,2,2,5,5,2,1,2,1,4,4,5,4,3,6,2,8,2,2,2,2,2,NA
4110,2018,2,51,10,10,1,8,51,3,2,6,3,2,3,5,5,6,3,2,2,2,1,7,6,6,2,7,7,1,6,2,2,2,1,1,56
4110,2019,2,51,9,10,1,9,23,3,2,5,2,2,3,3,5,3,3,1,2,2,1,5,2,6,3,3,7,4,4,2,2,1,1,1,NA
4110,2020,2,53,9,11,1,5,51,3,2,6,3,2,2,6,6,2,3,2,2,2,1,7,2,6,2,3,7,2,8,2,2,2,1,1,NA
4111,2018,1,47,10,11,1,7,2,2,4,4,4,4,4,1,4,6,6,2,2,2,2,4,4,4,4,4,4,3,10,2,2,2,2,1,2
4112,2018,2,53,8,1,1,10,1,4,7,7,7,7,7,7,7,7,7,2,2,2,2,7,7,7,7,7,7,3,3,2,2,2,2,1,NA
4112,2019,2,54,11,2,1,8,4,3,7,1,4,1,4,7,7,7,1,2,2,2,2,7,7,7,7,7,7,5,5,2,2,2,2,5,NA
4113,2018,2,54,11,99,0,5,54,3,1,7,1,1,1,6,7,3,2,2,1,2,1,6,1,7,1,4,7,5,8,2,2,2,1,2,56
4113,2019,2,55,11,99,0,5,54,3,1,6,4,1,2,6,6,1,1,2,1,2,1,5,4,4,4,6,7,5,7,2,2,2,2,2,NA
4113,2020,2,56,11,8,0,5,55,3,3,6,2,2,2,5,6,3,2,2,1,2,1,6,7,7,4,4,7,7,8,2,2,2,2,2,NA
4114,2018,1,39,10,6,1,5,51,1,3,6,2,4,3,3,4,6,3,2,1,2,1,6,2,4,2,5,5,8,9,2,2,2,1,2,4
4114,2019,1,40,10,9,1,5,1,2,3,5,3,5,5,5,4,5,5,2,1,2,1,5,2,4,3,3,6,6,5,2,2,2,2,2,NA
4114,2020,1,41,10,6,1,4,4,1,3,5,5,5,5,2,5,5,5,2,1,2,1,5,2,4,3,6,6,5,8,2,2,2,1,2,NA
4115,2018,2,21,8,2,0,4,50,2,2,7,1,1,2,7,7,4,1,1,2,2,2,7,5,4,4,4,7,7,8,1,1,1,1,3,2
4115,2019,2,22,8,1,0,4,1,1,2,7,1,2,1,7,7,5,1,2,2,2,1,7,7,7,7,7,7,10,10,1,1,1,1,3,NA
4115,2020,2,23,8,6,1,2,1,2,1,7,1,1,1,7,7,4,1,2,2,2,2,7,4,6,2,3,6,10,4,2,2,2,1,3,NA
4116,2018,1,49,7,99,1,2,3,2,1,7,2,2,1,5,6,4,1,2,2,2,2,5,4,7,6,7,7,7,7,2,1,1,1,3,3
4116,2019,1,50,5,99,1,2,3,1,1,7,2,1,1,7,7,1,1,2,2,2,1,5,2,4,6,5,5,10,5,2,1,1,1,3,NA
4116,2020,1,51,5,9,1,3,3,2,1,1,3,1,1,7,7,1,1,2,2,2,1,6,4,4,5,5,6,10,2,2,1,2,1,3,NA
4117,2018,1,23,10,6,0,5,50,2,6,3,4,6,6,4,5,4,3,1,2,2,2,5,3,3,3,4,4,4,9,2,2,2,1,3,2
4117,2019,1,24,10,5,0,5,50,2,4,3,5,5,6,4,5,4,3,1,1,2,2,5,5,5,3,5,5,5,6,2,2,2,2,3,NA
4118,2018,2,26,9,99,0,2,7,2,2,6,2,1,2,6,6,3,2,1,1,2,1,6,3,4,7,7,6,8,4,1,1,1,1,5,7
4119,2018,2,43,3,2,0,4,54,3,1,7,1,1,1,7,7,4,1,1,2,2,1,5,4,6,4,5,6,7,7,2,2,1,1,2,18
4119,2019,2,44,3,5,1,5,54,3,1,7,1,1,1,7,7,5,1,2,2,2,1,6,4,5,4,4,5,7,6,2,2,1,1,2,NA
4119,2020,2,45,5,3,1,5,55,3,1,7,3,1,1,7,7,4,1,2,2,2,1,5,4,4,4,4,5,6,7,2,2,1,1,4,NA
4120,2018,1,22,10,7,0,2,1,2,5,3,3,4,5,4,5,3,4,2,2,2,1,5,1,4,3,4,3,6,6,2,1,2,1,2,3
